version,downloads_count
7.1rc1,323
7.0.2,34000
7.0.1,11430
7.0,9373
7.0rc1,674
6.4.1,30152
6.4,2946
6.4rc1,413
6.3.3,336
6.3.2,40498
6.3.1,13424
6.3,5498
6.3rc2,362
6.3rc1,229
6.2.3,63
6.2.2,28444
6.2.1,4844
6.2,2059
6.2rc1,626
6.1.3,28774
6.1.2,5040
6.1.1,5422
6.1,1715
6.1rc2,383
6.1rc1,580
6.0.3,96
6.0.2,18688
6.0.1,5682
6.0,881
6.0rc1,522
5.2.3,31344
5.2.2,10851
5.2.1,5646
5.2,6980
5.2rc1,1298
5.1.3,23063
5.1.2,5988
5.1.1,5569
5.1,1238
5.1rc1,1298
5.0.2,21456
5.0.1,2873
5.0,2099
5.0rc1,511
4.2.3,162
4.2.2,16366
4.2.1,1253
4.2,2785
4.2rc1,1122
4.1.2,213
4.1.1,25036
4.1,1284
4.1rc1,577
4.0.4,12450
4.0.3,439
4.0.2,4274
4.0.1,1717
4.0,2061
4.0rc2,751
4.0rc1,420
3.0.2,633
3.0.1,19343
3.0,2743
3.0rc3,852
3.0rc2,574
3.0rc1,632
2.16.2,27834
2.16.1,11209
2.16,864
2.16rc2,494
2.16rc1,478
2.15.3,9002
2.15.2,6737
2.15.1,10849
2.15,1376
2.15rc2,320
2.15rc1,409
2.14.2,14379
2.14.1,10232
2.14,1325
2.14rc1,581
2.13.4,15402
2.13.3,3441
2.13.2,5997
2.13.1,2324
2.13,1546
2.13rc3,809
2.13rc2,407
2.13rc1,637
2.12.4,20446
2.12.3,18527
2.12.2,1401
2.12.1,779
2.12,1619
2.12rc1,396
2.11.3,24645
2.11.2,2662
2.11.1,1334
2.11,1422
